date,close,high,low,open,volume,symbol,Ticker
2021-11-10,355.98333740234375,359.3666687011719,329.10333251953125,336.8033447265625,128408100,TOP10,TSLA
2021-11-10,209.57473754882812,210.92614207925087,207.4066601011237,207.62055274638013,10063600,TOP10,V
2021-11-11,144.97216796875,146.50159405628088,144.7858890294142,146.0408184691879,41000000,TOP10,AAPL
2021-11-11,173.625,177.16200256347656,173.37350463867188,175.64999389648438,45288000,TOP10,AMZN
2021-11-11,284.6499938964844,287.07000732421875,284.25,286.5,2861000,TOP10,BRK-B
2021-11-11,144.8975067138672,146.65597318422095,144.7324959600678,145.61620370322987,16518000,TOP10,GOOGL
2021-11-11,151.63784790039062,152.6058766187333,150.9955002499307,151.55642763341996,5815300,TOP10,JPM
2021-11-11,325.95184326171875,330.64609219052824,325.2158904086119,328.0205117936413,12376600,TOP10,META
2021-11-11,321.6671447753906,322.96375701109565,319.8093237774825,320.52535587776663,16849800,TOP10,MSFT
2021-11-11,30.33092880249023,30.53054081377664,29.719121357342377,30.408778210275596,332172000,TOP10,NVDA
2021-11-11,354.5033264160156,368.3233337402344,351.55999755859375,367.5899963378906,67189800,TOP10,TSLA
2021-11-11,204.5774078369141,210.76081459496496,204.32463242239464,210.4594245297395,13546900,TOP10,V
2021-11-12,147.05062866210938,147.45258246065882,144.5898079376244,145.5211876519379,63804000,TOP10,AAPL
2021-11-12,176.25750732421875,177.0364990234375,172.3524932861328,174.25,53788000,TOP10,AMZN
2021-11-12,285.989990234375,286.1000061035156,283.79998779296875,284.8800048828125,2917000,TOP10,BRK-B
2021-11-12,147.79164123535156,147.96262810291185,144.54411934536105,145.74143694950138,22360000,TOP10,GOOGL
2021-11-12,150.95932006835938,151.75546616856482,149.92795525887732,151.67403209578927,8113400,TOP10,JPM
2021-11-12,339.030029296875,339.9947075853744,327.98063258900123,328.378444013849,25414300,TOP10,META
2021-11-12,325.8182373046875,326.31173481669066,322.9831070912228,323.10890289071614,23831000,TOP10,MSFT
2021-11-12,30.33092880249023,30.620366028491397,29.572405824699615,29.951668265415535,413054000,TOP10,NVDA
2021-11-12,344.47332763671875,351.5,339.73333740234375,349.1666564941406,76719300,TOP10,TSLA
2021-11-12,206.20106506347656,207.6496987800399,205.55938718888257,205.62745067638977,7660500,TOP10,V
2021-11-15,147.0604248046875,148.90358691602947,146.5015880097449,147.42316906541586,59222800,TOP10,AAPL
2021-11-15,177.28399658203125,179.69400024414062,176.29049682617188,176.85000610351562,58594000,TOP10,AMZN
2021-11-15,284.6700134277344,286.989990234375,284.239990234375,286.6000061035156,3217300,TOP10,BRK-B
2021-11-15,147.56698608398438,148.6579468804811,146.69521548950323,148.0128138888314,23508000,TOP10,GOOGL
2021-11-15,150.68792724609375,151.8007124851738,150.1812937650403,151.27599481174485,6492500,TOP10,JPM
2021-11-15,345.6636962890625,351.72046536297535,341.3274991922341,342.46126352400904,25076600,TOP10,META
2021-11-15,325.1892395019531,326.94063568950895,323.2152792768723,326.6116472402498,16723000,TOP10,MSFT
